Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Neasden Medical Centre,E84665,GPB,21 Tanfield Avenue,Neasden,,London,Greater London,NW2 7SA,Tel: 02082080306,13 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84665,,,9803 patients,9803,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.23% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.23%,yes,16.21% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.21%,yes,
Acton Lane Medical Centre,E85687,GPB,253 Acton Lane,Chiswick,,London,Greater London,W4 5DG,Tel: 02089955706,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85687,,,1740 patients,1740,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,29.55%,yes,29.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,29.55%,yes,yes
Balfour Road Surgery,F86042,GPB,Balfour Medical Centre,92 Balfour Road,,Ilford,Essex,IG1 4JE,Tel: 02084780209,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86042,,,6374 patients,6374,,,Yes,yes,YES Contact practice for appointment availability,YES,,37.34% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.34%,yes,38.00% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.00%,yes,yes
Hillview Surgery,E83657,GPB,114 Finchley Lane,Hendon,,London,Greater London,NW4 1DG,Tel: 02082030546,2 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83657,,,1882 patients,1882,,,Yes,yes,YES Contact practice for appointment availability,YES,,6.28% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,6.28%,yes,6.07% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,6.07%,yes,
Cloister Road Surgery,E85680,GPB,41-43 Cloister Road,Acton,,London,Greater London,W3 0DF,Tel: 0208 992 4331,15 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85680,,,10890 patients,10890,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.26% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,38.26%,yes,37.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,37.31%,yes,no
Mitcham Family Practice,H85078,GPB,"55, Mortimer Road",,,Mitcham,Surrey,CR4 3HS,Tel: 02086482432,7 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85078,,,3706 patients,3706,,,Yes,yes,YES Contact practice for appointment availability,YES,,9.28% of patients are signed up to this service  - https://www.patient-services.co.uk,9.28%,yes,9.09% of patients are signed up to this service  - https://www.patient-services.co.uk,9.09%,yes,yes
Leander Road Surgery,H83042,GPB,949 London Road,,,Thornton Heath,Surrey,CR7 6JE,Tel: 02034578727,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H83042,,,7520 patients,7520,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.98% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.98%,yes,30.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.90%,yes,yes
Churchfield Surgery,E85640,GPB,64 Churchfield Road,,,London,Greater London,W3 6DL,Tel: 02089923854,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85640,,,3451 patients,3451,,,Yes,yes,YES Contact practice for appointment availability,YES,,64.29% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,64.29%,yes,64.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,64.35%,yes,no
Mostafa Pms,G83647,GPB,141 Plumstead High Street,Plumstead,,London,Greater London,SE18 1SE,Tel: 02088550052,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83647,,,6851 patients,6851,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.43% of patients are signed up to this service  - https://www.patient-services.co.uk,16.43%,yes,16.43% of patients are signed up to this service  - https://www.patient-services.co.uk,16.43%,yes,no
Wide Way Surgery,H85029,GPB,15 Wide Way,,,Mitcham,Surrey,CR4 1BP,Tel: 02086231300,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85029,,,9855 patients,9855,,,Yes,yes,YES Contact practice for appointment availability,YES,,25.80% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.80%,yes,25.71% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.71%,yes,yes
Thornton Heath Health Centre,H83022,GPB,61A Gillett Road,,,Thornton Heath,Surrey,CR7 8RL,Tel: 02086641590,19 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=37332,36.8,2.5,6911 patients,6911,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.20% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.20%,yes,19.17% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.17%,yes,no
Boundary Court Surgery,F85043,GPB,Evergreen Primary Care Centre,1 Smythe Close,Upper Edmonton,London,Greater London,N9 0TW,Tel: 02088074505,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85043,,,4167 patients,4167,,,Yes,yes,YES Contact practice for appointment availability,YES,,15.09% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,15.09%,yes,15.07% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,15.07%,yes,no
Rainbow Practice,F85039,GPB,1 Smythe Close,Edmonton,,London,Greater London,N9 0TW,Tel: 02088878329,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85039,,,5512 patients,5512,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.46% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.46%,yes,24.40% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.40%,yes,yes
Chalfont Road Surgery,F85682,GPB,"Evergreen Primary Care centre,  First Floor",1 Smythe Close,Edmonton,London,Greater London,N9 0TW,Tel: 02088074505,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85682,,,4466 patients,4466,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.92%,yes,19.54% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.54%,yes,
The Merton Medical Practice,H85634,GPB,12-17 Abbey Parade Merton High Street,Merton High Street,South Wimbledon,London,Greater London,SW19 1DG,Tel: 02085459620,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=42695,37.5,2.5,8245 patients,8245,,,Yes,yes,YES Contact practice for appointment availability,YES,,59.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,59.69%,yes,55.74% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,55.74%,yes,
Mayfield Surgery,H85006,GPB,246 Roehampton Lane,Roehampton,,London,Greater London,SW15 4AA,Tel: 02087805770,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85006,,,6723 patients,6723,,,Yes,yes,YES Contact practice for appointment availability,YES,,21.24% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.24%,yes,20.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.69%,yes,yes
Evergreen Primary Care Centre,Y03402,GPB,1 Smythe Close,Edmonton,,London,Greater London,N9 0TW,Tel: 02088878354,16 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=38975,39,2.5,19461 patients,19461,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.04% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.04%,yes,36.03% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.03%,yes,yes
Brigstock Family Practice,H83608,GPB,83 Brigstock Road,,,Thornton Heath,Surrey,CR7 7JH,Tel: 02086897800,19 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H83608,,,5097 patients,5097,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.77% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.77%,yes,19.77% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.77%,yes,yes
Plumstead Health Centre PMS,G83019,GPB,Tewson Road,Plumstead,,London,Greater London,SE18 1BH,Tel: 02083165472,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83019,,,12175 patients,12175,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.34% of patients are signed up to this service  - https://www.patient-services.co.uk,22.34%,yes,22.34% of patients are signed up to this service  - https://www.patient-services.co.uk,22.34%,yes,yes
Gants Hill Medical Centre,F86008,GPB,63-65 Ethelbert Gardens,Gants Hill,,Ilford,Essex,IG2 6UW,Tel: 02085503740,31 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86008,,,9598 patients,9598,,,Yes,yes,YES Contact practice for appointment availability,YES,,42.49% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.49%,yes,42.81% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.81%,yes,no
Cornwall House Surgery,E83013,GPB,Cornwall Avenue,,,London,Greater London,N3 1LD,Tel: 02083461976,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83013,,,6192 patients,6192,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.72%,yes,22.78% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.78%,yes,no
Bannockburn Pms,G83654,GPB,20-22 Bannockburn Road,Plumstead,,London,Greater London,SE18 1ES,Tel: 02088555540,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83654,,,5343 patients,5343,,,Yes,yes,YES Contact practice for appointment availability,YES,,4.99% of patients are signed up to this service  - https://www.patient-services.co.uk,4.99%,yes,4.99% of patients are signed up to this service  - https://www.patient-services.co.uk,4.99%,yes,yes
Dr Aa Ansari's Practice,F82650,GPB,364-370 Ripple Road,,,Barking,Essex,IG11 9RS,Tel: 02089113777,7 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82650,,,8522 patients,8522,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.99% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.99%,yes,16.96% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.96%,yes,yes
The Alton Practice,H85065,GPB,208-210 Roehampton Lane,Roehampton,,London,,SW15 4LE,Tel: 02087884844,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85065,,,3822 patients,3822,,,Yes,yes,YES Contact practice for appointment availability,YES,,4.80% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,4.80%,yes,4.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,4.51%,yes,yes
The Horn Lane Surgery,E85677,GPB,156 Horn Lane,Acton,,London,Greater London,W3 6PH,Tel: 02089924722,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85677,,,5162 patients,5162,,,Yes,yes,YES Contact practice for appointment availability,YES,,18.16% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,18.16%,yes,9.06% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,9.06%,yes,yes
Sundridge Medical Centre,G84629,GPB,84 London Lane,,,Bromley,Kent,BR1 4HE,Tel: 02084668844,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=37052,43.1,2.5,5628 patients,5628,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.22% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.22%,yes,20.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.08%,yes,no
St James' Practice,G84028,GPB,138 Croydon Road,,,Beckenham,Kent,BR3 4DG,Tel: 02086500568,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G84028,,,6624 patients,6624,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.21% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.21%,yes,23.05% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.05%,yes,
Dr S.A Patel,E83035001,GPB,86 Audley Road,Hendon,,London,Greater London,NW4 3HB,,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151982,0,0,11716 patients,11716,,,Yes,yes,N/A - Data not available,,,32.52% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.52%,yes,32.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.51%,yes,
Highland Medical Practice - Bromley Surgery,G84604,GPB,10 Highland Road,,,Bromley,Kent,BR1 4AD,Tel: 02084602368,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G84604,,,5503 patients,5503,,,Yes,yes,YES Contact practice for appointment availability,YES,,18.77% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.77%,yes,18.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.72%,yes,no
Churchill Medical Centre,F86627,GPB,1 Churchill Terrace,Chingford,,London,Greater London,E4 8DG,Tel: 02084307020,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86627,,,13778 patients,13778,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.28% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.28%,yes,28.38% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.38%,yes,no
Eden Park Surgery,G84011,GPB,194 Croydon Road,,,Beckenham,Kent,BR3 4DQ,Tel: 02086501274,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G84011,,,8727 patients,8727,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.81% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.81%,yes,14.48% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.48%,yes,
The Roehampton Surgery,H85008,GPB,191 Roehampton Lane,Roehampton,,London,Greater London,SW15 4HN,Tel: 02087881188,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=42479,33.3,2.0,5990 patients,5990,,,Yes,yes,YES Contact practice for appointment availability,YES,,9.36% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,9.36%,yes,9.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,9.63%,yes,yes
The Phoenix Practice,E83653,GPB,7 Brampton Grove,Hendon,,London,Greater London,NW4 4AE,Tel: 02082029030,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83653,,,10247 patients,10247,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.83% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.83%,yes,24.40% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.40%,yes,
The Links Medical Practice,G84003001,GPB,198 Court Farm Road,Mottingham,,London,Greater London,SE9 4JS,Tel: 02088570011,16 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G84003001,,,11019 patients,11019,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.94% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.94%,yes,28.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.92%,yes,yes
Lavender Fields Surgery(Branch),H85649001,GPB,182 Western Road,Mitcham,,Mitcham,Surrey,CR4 3EB,Tel: 02085442300,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85649001,,,11055 patients,11055,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.65% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.65%,yes,19.57% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.57%,yes,yes
Homeless Action in Barnet,E83666,GPB,36B Woodhouse Road,North Finchley,,London,Greater London,N12 0RG,Tel: 020 84468400,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=141822,0,0,N/A - Data not available,,,,No,no,YES Contact practice for appointment availability,YES,,N/A - Data not available,,,N/A - Data not available,,,
The Acton Health Centre,E85109,GPB,35-61 Church Road,Acton,,London,Greater London,W3 8QE,Tel: 02089926768,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85109,,,3471 patients,3471,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,19.32%,yes,19.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,19.32%,yes,yes
Hilltop Medical Practice,E84637,GPB,150 Hilltop Avenue,Harlesden,,London,Greater London,NW10 8RY,Tel: 02031887250,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84637,,,3991 patients,3991,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.08%,yes,21.47% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.47%,yes,
The Stonebridge Practice,E84028,GPB,150 Hilltop Avenue,Harlesden,,London,Greater London,NW10 8RY,Tel: 02031887310,19 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84028,,,4946 patients,4946,,,Yes,yes,YES Contact practice for appointment availability,YES,,73.76% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,73.76%,yes,74.01% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,74.01%,yes,
AKSYR MEDICAL PRACTICE,E84030,GPB,Hilltop Primary Care Centre,"1St Floor ,150 Hilltop Avenue",Harlesden,London,Greater London,NW10 8RY,Tel: 02031887270,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84030,,,7481 patients,7481,,,Yes,yes,YES Contact practice for appointment availability,YES,,25.44% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.44%,yes,25.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.32%,yes,
Alexandra Surgery,H85656,GPB,39 Alexandra Road,Wimbledon,,London,Greater London,SW19 7JZ,Tel: 02089467578,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=42490,0,0,5721 patients,5721,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.53% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.53%,yes,27.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.51%,yes,yes
Wentworth Medical Practice,E83035,GPB,38 Wentworth Avenue,Finchley Central,,London,Greater London,N3 1YL,Tel: 02083461242,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83035,,,11716 patients,11716,,,Yes,yes,YES Contact practice for appointment availability,YES,,32.52% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.52%,yes,32.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.51%,yes,
Grove Park Surgery,E85693,GPB,95 Burlington Lane,Chiswick,,London,Greater London,W4 3ET,Tel: 02087471549,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85693,,,8107 patients,8107,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.50% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,36.50%,yes,36.52% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,36.52%,yes,
Brentfield Medical Centre,E84031,GPB,10 Kingfisher Way,Brentfield Road,,London,Greater London,NW10 8TF,Tel: 02088302396,28 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84031,,,9148 patients,9148,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.10% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.10%,yes,21.78% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.78%,yes,yes
Clayhall Group Practice,F86691,GPB,Clayhall Group Practice,14 Clayhall Avenue,Clayhall,Ilford,Essex,IG5 0LG,Tel: 02085513193,15 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86691,,,10671 patients,10671,,,Yes,yes,YES Contact practice for appointment availability,YES,,25.22% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.22%,yes,25.42% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.42%,yes,yes
Tamworth House Medical Centre.,H85033,GPB,Tamworth House Medical Centre,341 Tamworth Lane,,Mitcham,Surrey,CR4 1DL,Tel: 02087642666,15 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85033,,,9108 patients,9108,,,Yes,yes,YES Contact practice for appointment availability,YES,,12.86% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,12.86%,yes,12.86% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,12.86%,yes,yes
Park Royal Medical Practice,E84645,GPB,"Primary Care Centre, Health & Well-Being Hub",Central Middlesex Hospital,Acton Lane,London,,NW10 7NS,Tel: 02089611183,12 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84645,,,7466 patients,7466,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.29% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.29%,yes,37.38% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.38%,yes,no
The Woodberry Practice ,F85020,GPB,1 Woodberry Avenue,Winchmore Hill,,London,Greater London,N21 3LE,Tel: 02088862751,26 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85020,,,8894 patients,8894,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.49% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.49%,yes,19.70% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.70%,yes,
Brigstock & South Norwood Partnership,H83017,GPB,141 Brigstock Road,,,Thornton Heath,Surrey,CR7 7JN,Tel: 02086840033,78 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H83017,,,15586 patients,15586,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.33%,yes,26.65% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.65%,yes,yes
Rainbow Health Centre,Y00182,GPB,Brigstock Primary Care Centre,141 Brigstock Road,Thornton Heath,London,Greater London,CR7 7JN,Tel: 020 8274 6070,2 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=35454,50,3.0,360 patients,360,,,No,no,YES Contact practice for appointment availability,YES,,N/A - Data not available,,,N/A - Data not available,,,yes
Wimbledon Medical Practice,H85028,GPB,79 Pelham Road,Wimbledon,,London,Greater London,SW19 1NX,Tel: 020 8542 2827,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85028,,,9521 patients,9521,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.23% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.23%,yes,26.77% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.77%,yes,no
