Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
St Mark's Hospital,R1K03,HOS,Watford Road,,,Harrow,Middlesex,HA1 3UJ,Tel: 020 8864 3232,33 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1K03,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/R1K03,5,cqc-norating,Within expected range with a value of 60%,60,ok,Lower number of deaths than expected,0.836,tick,No relevant data available,,doesnotapply,,,,
Northwick Park Hospital,R1K01,HOS,Watford Road,,,London,Middlesex,HA1 3UJ,Tel: 020 8864 3232,346 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1K01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/R1K01,3,cqc-requiresimp,Within expected range with a value of 60%,60,ok,Lower number of deaths than expected,0.836,tick,,87.66%,Tick,yes,,yes,Data not available
Cygnet Lodge Kenton,NMJ14,HOS,,74 Kenton Road,,Kenton,Middlesex,HA3 8AE,Tel: 020 8907 0770,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ14,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-130486890,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Ealing Hospital,R1K04,HOS,Uxbridge Road,,,Southall,Middlesex,UB1 3HW,Tel: 020 8967 5000,102 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1K04,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/R1K04,3,cqc-requiresimp,Within expected range with a value of 60%,60,ok,Lower number of deaths than expected,0.836,tick,,94.40%,Tick,,,,
BMI The Clementine Churchill Hospital,NT411,HOS,,Sudbury Hill,,Harrow,Middlesex,HA1 3RX,Tel: 020 8872 3872,10 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT411,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128758653,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,100.00%,Tick,yes,,yes,yes
Cygnet Hospital Harrow,NMJ10,HOS,,London Road,,Harrow on the Hill,Middlesex,HA1 3JL,Tel: 020 8966 7000,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ10,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-130486784,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Green Parks House,RPGAD,HOS,,Princess Royal University Hospital,Farnborough Common,Orpington,Kent,BR6 8NY,Tel: 01689 880 000,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGAD,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,90.02% Among the best,90.02%,Tick,,,,
Bromley Private Patient Unit,NVC37,HOS,The Princess Royal University,Farnborough Common,,Orpington,Kent,BR6 8ND,Tel: 01689 863739,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC37,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Princess Royal University Hospital,RJZ30,HOS,,Farnborough Common,,Orpington,Kent,BR6 8ND,Tel: 01689 863000,129 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJZ30,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJZ30,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,0.955,ok,,95.69%,Tick,yes,,,
Purley War Memorial Hospital,RJ613,HOS,856 Brighton Road,856 Brighton Road,,Purley,Surrey,CR8 2YL,Tel: 020 8401 3000,48 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ613,,,Not yet rated,,doesnotapply,Within expected range with a value of 55%,55,ok,Number of deaths within the expected range,0.915,ok,No relevant data available,,doesnotapply,yes,,yes,no
Queen's Hospital,RF4QH,HOS,Rom Valley Way,,,Romford,Essex,RM7 0AG,Tel: 01708 435000,345 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RF4QH,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RF4QH,3,cqc-requiresimp,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.982,ok,94.68% Among the best,94.68%,Tick,yes,,yes,no
Old Church Hospital,RQ8MG,HOS,Waterloo Road,,,Romford,Essex,RM7 9BH,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8MG,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,No relevant data available,,doesnotapply,,,,
Sutton Hospital,RVR06,HOS,Cotswold Road,,,Sutton,Surrey,SM2 5NF,Tel: 020 8296 2000,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVR06,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RVR06,5,cqc-norating,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,No relevant data available,,doesnotapply,yes,,yes,no
The Royal Marsden Hospital (Surrey),RPY02,HOS,Downs Road,,,Sutton,Surrey,SM2 5PT,Tel: 020 8642 6011,22 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPY02,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RPY02,1,cqc-outstanding,Among the best with a value of 92%,92,tick,Not available for independent or specialist hospitals,,doesnotapply,98.12% Among the best,98.12%,Tick,yes,,yes,yes
Surbiton Hospital,RVRA1,HOS,Ewell Road,,,Surbiton,Surrey,KT6 6EZ,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVRA1,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,No relevant data available,,doesnotapply,,,,
Teddington Memorial Hospital,RY922,HOS,Teddington Memorial Hospital,Hampton Road,,Teddington,Middlesex,TW11 0JL,Tel: 020 8714 4000,17 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RY922,,,Not yet rated,,doesnotapply,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,82.80% Among the best,82.80%,Tick,,,,
Tolworth Hospital,RQY08,HOS,Red Lion Road,Red Lion Road,,Surbiton,Surrey,KT6 7QU,Tel: 020 3513 5000,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQY08,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RQY08,5,cqc-norating,Within expected range with a value of 55%,55,ok,Not available for independent or specialist hospitals,,doesnotapply,90.38% Among the best,90.38%,Tick,yes,,,
Victoria Hospital (Romford),RF4VH,HOS,Pettits Lane,,,Romford,Essex,RM1 4HL,Tel: 0300 555 1045,7 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RF4VH,,,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.982,ok,No relevant data available,,doesnotapply,,,,
Potters Bar Community Hospital,RY402,HOS,,Oakmere Ward,,Potters Bar,Hertfordshire,EN6 2RY,Tel: 01707 653286,7 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RY402,,,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,88.04% Among the best,88.04%,Tick,,,,
Hertfordshire Eye Hospital HQ,NKS01,HOS,Potters Bar Hospital,Barnet Road,,Potters Bar,Hertfordshire,EN6 2RY,Tel: 01707 653286,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NKS01,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The Royal National Orthopaedic Hospital (Stanmore),RAN01,HOS,Brockley Hill,,,Stanmore,Middlesex,HA7 4LP,Tel: 020 8954 2300,53 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAN01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RAN01,2,cqc-good,Among the best with a value of 88%,88,tick,Not available for independent or specialist hospitals,,doesnotapply,89.59% Among the best,89.59%,Tick,yes,,,
Orpington Hospital,RJZ70,HOS,Sevenoaks Road,,,Orpington,Kent,BR6 9JU,Tel: 01689 863000,71 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJZ70,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RJZ70,2,cqc-good,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,0.955,ok,,88.68%,Tick,,,,
Cheshunt Community Hospital,RY424,HOS,,"King Arthur Court, Waltham Cross, Hertfordshire",,,,EN8 8XN,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RY424,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Jasmine Court Independent Hospital,DAM07,HOS,Paternoster Hill,,,Waltham Abbey,Essex,EN9 3JY,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DAM07,0,0,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-108646848,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Spire Bushey Hospital,NT315,HOS,Heathbourne Road,Bushey Heath,,Bushey,Hertfordshire,WD23 1RD,Tel: 020 8901 5572,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT315,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,98.22%,Tick,yes,,yes,yes
West Park Hospital,RVRC9,HOS,St. Ebbas Hospital,Hook Road,,Epsom,Surrey,KT19 8QJ,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVRC9,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,No relevant data available,,doesnotapply,,,,
BMI Chelsfield Park Hospital,NT409,HOS,,Bucks Cross Road,Chelsfield,Orpington,Kent,BR6 7RG,Tel: 01689 877855,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT409,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128758401,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,94.63%,Tick,yes,,yes,yes
Epsom Day Surgery Limited,NVM02,HOS,Alexandra Road,,,Epsom,Surrey,KT17 4BL,Tel: 01932 588400,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVM02,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-106389880,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
The Old Cottage Hospital,RVRA7,HOS,Alexandra Road,,,Epsom,Surrey,KT17 4BL,,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVRA7,,,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,No relevant data available,,doesnotapply,,,,
Livingstone Community Hospital - Virgin Care Adult Community Services,NDAJ0,HOS,East Hill,,,Dartford,Kent,DA1 1SA,Tel: 0300 247 0400,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NDAJ0,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/1-2781090973,5,cqc-norating,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Molesey Community Hospital,NTV15,HOS,,High Street,,West Molesey,Surrey,KT8 2LU,Tel: 020 8941 4481,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTV15,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,91.12%,Tick,yes,,,
Littlebrook Hospital,RXYL2,HOS,Bow Arrow Lane,Stone,,Dartford,Kent,DA2 6PB,Tel: 01322 622222,12 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXYL2,,,Not yet rated,,doesnotapply,Within expected range with a value of 58%,58,ok,Not available for independent or specialist hospitals,,doesnotapply,95.49% Among the best,95.49%,Tick,no,,Data not available,
Private Hospitals,RF4PH,HOS,Gubbins Lane,,,Romford,Essex,RM3 0PU,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RF4PH,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.982,ok,No relevant data available,,doesnotapply,,,,
Stone House Hospital,RWF35,HOS,Cotton Lane,,,Dartford,Kent,DA2 6AU,Tel: 01322 622222,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWF35,,,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.032,ok,No relevant data available,,doesnotapply,no,,,
New Epsom and Ewell Community Hospital,NTV16,HOS,,West Park Road,Horton Lane,Epsom,Surrey,KT19 8PB,Tel: 01372 734845,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTV16,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,88.05%,Tick,yes,,,
Epsom Hospital,RVR50,HOS,Dorking Road,,,Epsom,Surrey,KT18 7EG,Tel: 01372 735 735,88 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVR50,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RVR50,2,cqc-good,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,86.11% Among the best,86.11%,Tick,yes,,yes,yes
Caterham Dene Community Hospital,NDJZZ,HOS,Caterham Dene Hospital,Church Road,,Caterham,Surrey,CR3 5RA,Tel: 01883 837500,49 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NDJZZ,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Darent Valley Hospital,RN707,HOS,Darenth Wood Road,,,Dartford,Kent,DA2 8DA,Tel: 01322 428100,227 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RN707,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RN707,2,cqc-good,Within expected range with a value of 79%,79,ok,Number of deaths within the expected range,1.062,ok,89.12% Among the best,89.12%,Tick,yes,,yes,yes
St Margaret's Hospital,RQWG1,HOS,,The Plain,Epping,Essex,,CM16 6TN,Tel: 01992 561666,52 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQWG1,,,Not yet rated,,doesnotapply,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,1.11,ok,No relevant data available,,doesnotapply,,,,
Hillingdon Hospital,RAS01,HOS,,Pield Heath Road,,Uxbridge,Middlesex,UB8 3NN,Tel: 01895 238282,108 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAS01,,,Inadequate Visit CQC profile - http://www.cqc.org.uk/location/RAS01,4,cqc-inadequate,Within expected range with a value of 65%,65,ok,Number of deaths within the expected range,1.001,ok,96.97% Among the best,96.97%,Tick,yes,,yes,yes
The Riverside Centre,RV3AN,HOS,Pield Heath Road,Hillingdon Hospital,,Uxbridge,Middlesex,UB8 3NN,,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV3AN,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RV3AN,5,cqc-norating,Within expected range with a value of 64%,64,ok,Not available for independent or specialist hospitals,,doesnotapply,96.82% Among the best,96.82%,Tick,,,,
Kingsley Green,RWR96,HOS,Harper Lane,Shenley,,Radlett,Hertfordshire,WD7 9HQ,Tel: 01923 633000,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWR96,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
North Downs Hospital,NVC11,HOS,46 Tupwood Lane,,,Caterham,Surrey,CR3 6DP,Tel: 01883 348981,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC11,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128733015,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,89.94%,Tick,yes,,,
Walton Community Hospital - Virgin Care Services Ltd,NDA07,HOS,,Rodney Road,,Walton-on-Thames,Surrey,KT12 3LD,Tel: 01932 414205,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NDA07,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Watford General Hospital,RWG02,HOS,Vicarage Road,,,Watford,Hertfordshire,WD18 0HB,Tel: 01923 244366,186 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWG02,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RWG02,3,cqc-requiresimp,Within expected range with a value of 56%,56,ok,Number of deaths within the expected range,0.994,ok,81.91% Among the best,81.91%,Tick,yes,,no,no
Ashtead Hospital,NVC01,HOS,The Warren,,,Ashtead,Surrey,KT21 2SB,Tel: 01372 221400,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128718687,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,92.45%,Tick,yes,,yes,yes
Mount Vernon Hospital,RAS02,HOS,,Rickmansworth Road,,Northwood,Middlesex,HA6 2RN,Tel: 01923 826111,103 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAS02,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RAS02,3,cqc-requiresimp,Within expected range with a value of 65%,65,ok,Number of deaths within the expected range,1.001,ok,98.43% Among the best,98.43%,Tick,yes,,yes,yes
Northwood & Pinner Community Hospital,RV3FG,HOS,Rickmansworth Road,,,Northwood,Middlesex,HA6 2RN,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV3FG,,,Not yet rated,,doesnotapply,Within expected range with a value of 64%,64,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
BMI Bishops Wood Hospital,NT405,HOS,,Rickmansworth Road,,Northwood,Middlesex,HA6 2JW,Tel: 01923 835814,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT405,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128758337,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,88.39%,Tick,yes,,yes,yes
Ashford Hospital,RTK02,HOS,London Road,,,Ashford,Middlesex,TW15 3AA,Tel: 01784 884488,49 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTK02,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RTK02,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.008,ok,91.07% Among the best,91.07%,Tick,yes,,yes,no
Spire Hartswood Hospital,NT319,HOS,Eagle Way,,,Brentwood,Essex,CM13 3LE,Tel: 01277 232 525,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT319,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-129798209,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,94.02%,Tick,yes,,yes,yes
Leatherhead Community Hospital,NTV13,HOS,Poplar Road,Surrey,,Leatherhead,Surrey,KT22 8SD,Tel: 01372 384 384,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTV13,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Thurrock Community Hospital,R1L50,HOS,,Long Lane,,Grays,Essex,RM16 2PX,Tel: 0300 123 0808,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1L50,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/R1L50,5,cqc-norating,Within expected range with a value of 61%,61,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Harefield Hospital,RT301,HOS,Hill End Road,,,Harefield,Middlesex,UB9 6JH,Tel: 01895 823 737,21 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RT301,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RT301,2,cqc-good,Among the best with a value of 90%,90,tick,Not available for independent or specialist hospitals,,doesnotapply,95.01% Among the best,95.01%,Tick,yes,,yes,yes
Cobham Day Surgery Hospital,NVM01,HOS,Cobham Day Surgery,168 Portsmouth Road,,Cobham,Surrey,KT11 1HS,Tel: 01932 588400,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVM01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-106389976,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
BMI Fawkham Manor Hospital,NT414,HOS,Manor Lane,Fawkham,,Longfield,Kent,DA3 8ND,Tel: 01474 879900,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT414,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128766738,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,93.45%,Tick,yes,,yes,yes
"Nuffield Health, Brentwood Hospital",NT204,HOS,,Shenfield Road,,Brentwood,Essex,CM15 8EH,Tel: 0800 015 5020,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT204,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574336,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,96.86%,Tick,yes,,,
Brentwood Community Hospital,RAJ25,HOS,"Crescent Drive, Shenfield",,,Brentwood,Essex,CM15 8DR,Tel: 01277 695000,20 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAJ25,,,Not yet rated,,doesnotapply,Within expected range with a value of 62%,62,ok,Number of deaths within the expected range,1.067,ok,No relevant data available,,doesnotapply,,,,
One Hatfield Hospital,AVQ03,HOS,One Hatfield Hospital,3 Hatfield Avenue,,Hatfield,Hertfordshire,AL10 9UA,Tel: 01707 443333,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AVQ03,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
New QEII Hospital,RWH20,HOS,Howlands,Howlands,,Welwyn Garden City,Hertfordshire,AL7 4HQ,Tel: 01438 314333,103 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWH20,,,Inadequate Visit CQC profile - http://www.cqc.org.uk/location/RWH20,4,cqc-inadequate,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.905,ok,No relevant data available,,doesnotapply,yes,,yes,no
West Hertfordshire Hospitals Therapy Unit,RWG14,HOS,Jacketts Field,,,Abbots Langley,Hertfordshire,WD5 0PA,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWG14,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 56%,56,ok,Number of deaths within the expected range,0.994,ok,No relevant data available,,doesnotapply,,,,
Princess Alexandra Hospital,RQWG0,HOS,,Hamstel Road,,Harlow,Essex,CM20 1QX,Tel: 01279 444455,161 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQWG0,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RQWG0,3,cqc-requiresimp,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,1.11,ok,80.87% Among the best,80.87%,Tick,yes,,yes,yes
Orsett Hospital Minor Injuries Unit - North East London NHS Foundation Trust,RATPH,HOS,Rowley Road,Orsett,,Grays,Essex,RM16 3EU,,30 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RATPH,,,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Sevenoaks Hospital,RYYD9,HOS,Sevenoaks Hospital,Hospital Road,,Sevenoaks,Kent,TN13 3PG,Tel: 01732 470200,45 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYD9,,,Not yet rated,,doesnotapply,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,93.70% Among the best,93.70%,Tick,yes,,yes,no
Hertford County Hospital,RWH23,HOS,,North Road,,Hertford,Hertfordshire,SG14 1LP,Tel: 01438 314333,24 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWH23,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RWH23,2,cqc-good,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.905,ok,No relevant data available,,doesnotapply,yes,,yes,no
Gravesham Community Hospital,RYYDN,HOS,Gravesham Community Hospital,Bath Street,,Gravesend,Kent,DA11 0DG,Tel: 01474 360500,37 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYDN,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RYYDN,5,cqc-norating,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,Data not available,
East Surrey Hospital,RTP04,HOS,,Canada Avenue,,Redhill,,RH1 5RH,Tel: 01737 768 511,205 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTP04,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RTP04,1,cqc-outstanding,Among the best with a value of 82%,82,tick,Number of deaths within the expected range,0.99,ok,90.32% Among the best,90.32%,Tick,,,,
