LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01002427,Hillingdon 018E,E09000017,Hillingdon,13.203,20845.000,7.000,0.098,16564.000,6.000,0.046,26070.000,8.000,14.412,17820.000,6.000,-0.633,25124.000,8.000,0.019,16383.000,5.000,26.615,9627.000,3.000,22.338,13631.000,5.000
E01002428,Hillingdon 018F,E09000017,Hillingdon,12.152,21987.000,7.000,0.075,20466.000,7.000,0.049,25143.000,8.000,17.534,15436.000,5.000,-0.570,24324.000,8.000,0.163,14110.000,5.000,26.070,10117.000,4.000,12.978,21066.000,7.000
E01002429,Hillingdon 019C,E09000017,Hillingdon,30.131,7970.000,3.000,0.185,7661.000,3.000,0.118,9935.000,4.000,26.528,10047.000,4.000,0.110,14361.000,5.000,0.322,11618.000,4.000,46.617,787.000,1.000,18.145,16698.000,6.000
E01002430,Hillingdon 007A,E09000017,Hillingdon,6.105,29334.000,9.000,0.024,31780.000,10.000,0.034,29600.000,10.000,2.566,30254.000,10.000,-1.054,29252.000,9.000,0.012,16485.000,6.000,26.180,10013.000,4.000,12.302,21696.000,7.000
E01002431,Hillingdon 006C,E09000017,Hillingdon,4.924,30573.000,10.000,0.028,31231.000,10.000,0.030,30552.000,10.000,1.399,31577.000,10.000,-1.403,31355.000,10.000,0.114,14904.000,5.000,18.443,18558.000,6.000,15.554,18766.000,6.000
E01002432,Hillingdon 006D,E09000017,Hillingdon,6.636,28738.000,9.000,0.050,26072.000,8.000,0.032,30194.000,10.000,2.807,29972.000,10.000,-1.027,29038.000,9.000,0.342,11279.000,4.000,15.742,22021.000,7.000,16.831,17728.000,6.000
E01002433,Hillingdon 004A,E09000017,Hillingdon,16.922,17059.000,6.000,0.111,14819.000,5.000,0.086,14992.000,5.000,14.259,17941.000,6.000,-0.906,28023.000,9.000,-0.007,16793.000,6.000,33.677,4736.000,2.000,15.609,18730.000,6.000
E01002434,Hillingdon 007B,E09000017,Hillingdon,5.524,30000.000,10.000,0.030,30845.000,10.000,0.026,31524.000,10.000,3.058,29660.000,10.000,-1.047,29197.000,9.000,0.262,12527.000,4.000,15.805,21928.000,7.000,18.483,16442.000,6.000
E01002435,Hillingdon 007C,E09000017,Hillingdon,4.163,31339.000,10.000,0.028,31189.000,10.000,0.035,29483.000,9.000,2.863,29905.000,10.000,-0.936,28277.000,9.000,-0.658,25739.000,8.000,15.942,21747.000,7.000,16.047,18383.000,6.000
E01002436,Hillingdon 004B,E09000017,Hillingdon,10.954,23393.000,8.000,0.075,20454.000,7.000,0.067,19584.000,6.000,5.991,26171.000,8.000,-0.676,25655.000,8.000,0.099,15139.000,5.000,21.746,14612.000,5.000,15.094,19112.000,6.000
E01002437,Hillingdon 006E,E09000017,Hillingdon,5.755,29735.000,10.000,0.041,28358.000,9.000,0.032,30166.000,10.000,1.734,31182.000,10.000,-1.189,30225.000,10.000,-0.625,25370.000,8.000,26.742,9525.000,3.000,13.999,20110.000,7.000
E01002438,Hillingdon 003A,E09000017,Hillingdon,12.569,21531.000,7.000,0.068,21826.000,7.000,0.053,23777.000,8.000,13.086,18960.000,6.000,-0.371,21744.000,7.000,-0.899,28232.000,9.000,38.753,2571.000,1.000,7.537,26687.000,9.000
E01002439,Hillingdon 003B,E09000017,Hillingdon,17.002,16990.000,6.000,0.113,14613.000,5.000,0.081,16125.000,5.000,17.282,15612.000,5.000,0.298,11653.000,4.000,-0.085,17905.000,6.000,22.496,13756.000,5.000,11.212,22770.000,7.000
E01002440,Hillingdon 003C,E09000017,Hillingdon,20.207,14167.000,5.000,0.115,14269.000,5.000,0.083,15601.000,5.000,28.072,9370.000,3.000,0.282,11875.000,4.000,0.111,14958.000,5.000,29.626,7221.000,3.000,8.485,25651.000,8.000
E01002441,Hillingdon 003D,E09000017,Hillingdon,23.701,11576.000,4.000,0.151,10413.000,4.000,0.099,12737.000,4.000,23.052,11870.000,4.000,0.284,11847.000,4.000,0.748,5963.000,2.000,26.287,9901.000,4.000,12.422,21589.000,7.000
E01002442,Hillingdon 003E,E09000017,Hillingdon,23.760,11533.000,4.000,0.143,11170.000,4.000,0.108,11283.000,4.000,32.399,7661.000,3.000,0.089,14677.000,5.000,-0.274,20669.000,7.000,35.204,3984.000,2.000,11.138,22844.000,7.000
E01002443,Hillingdon 032A,E09000017,Hillingdon,19.901,14430.000,5.000,0.074,20740.000,7.000,0.039,28039.000,9.000,15.900,16658.000,6.000,-0.894,27928.000,9.000,0.833,5082.000,2.000,48.245,544.000,1.000,30.335,8610.000,3.000
E01002444,Hillingdon 031A,E09000017,Hillingdon,22.563,12349.000,4.000,0.096,16999.000,6.000,0.066,19761.000,7.000,16.185,16418.000,5.000,-0.012,16196.000,5.000,-0.565,24651.000,8.000,53.157,103.000,1.000,31.326,8093.000,3.000
E01002445,Hillingdon 029A,E09000017,Hillingdon,30.410,7835.000,3.000,0.189,7362.000,3.000,0.112,10714.000,4.000,41.929,4892.000,2.000,0.261,12168.000,4.000,0.686,6656.000,3.000,32.237,5501.000,2.000,19.249,15841.000,5.000
E01002446,Hillingdon 031B,E09000017,Hillingdon,21.888,12848.000,4.000,0.086,18602.000,6.000,0.064,20436.000,7.000,21.986,12552.000,4.000,-0.194,19035.000,6.000,1.286,1814.000,1.000,32.287,5475.000,2.000,28.307,9780.000,3.000
E01002447,Hillingdon 031C,E09000017,Hillingdon,24.211,11245.000,4.000,0.115,14294.000,5.000,0.059,21809.000,7.000,26.354,10129.000,4.000,-0.652,25373.000,8.000,0.112,14954.000,5.000,46.150,869.000,1.000,45.231,2839.000,1.000
E01002448,Hillingdon 032B,E09000017,Hillingdon,18.249,15919.000,5.000,0.095,17107.000,6.000,0.052,24081.000,8.000,16.650,16077.000,5.000,-0.487,23235.000,8.000,0.662,6946.000,3.000,28.207,8261.000,3.000,38.913,4643.000,2.000
E01002449,Hillingdon 032C,E09000017,Hillingdon,21.375,13247.000,5.000,0.139,11610.000,4.000,0.075,17448.000,6.000,15.130,17269.000,6.000,-0.252,19904.000,7.000,0.144,14410.000,5.000,41.830,1703.000,1.000,21.962,13876.000,5.000
E01002450,Hillingdon 014A,E09000017,Hillingdon,7.627,27513.000,9.000,0.046,27034.000,9.000,0.034,29735.000,10.000,13.270,18810.000,6.000,-0.866,27661.000,9.000,0.000,16667.000,6.000,18.160,18926.000,6.000,17.040,17557.000,6.000
E01002451,Hillingdon 014B,E09000017,Hillingdon,7.125,28166.000,9.000,0.051,26038.000,8.000,0.045,26504.000,9.000,8.891,22982.000,7.000,-0.789,26893.000,9.000,-0.223,19949.000,7.000,17.161,20235.000,7.000,14.461,19696.000,6.000
E01002452,Hillingdon 014C,E09000017,Hillingdon,9.387,25275.000,8.000,0.063,23028.000,8.000,0.052,24064.000,8.000,11.126,20777.000,7.000,-0.835,27332.000,9.000,-0.673,25914.000,8.000,18.759,18164.000,6.000,26.297,10993.000,4.000
E01002453,Hillingdon 014D,E09000017,Hillingdon,11.258,23046.000,8.000,0.081,19442.000,6.000,0.050,24629.000,8.000,11.161,20742.000,7.000,-0.388,21971.000,7.000,-0.377,22115.000,7.000,19.704,16994.000,6.000,26.166,11064.000,4.000
E01002454,Hillingdon 014E,E09000017,Hillingdon,19.651,14666.000,5.000,0.133,12201.000,4.000,0.110,11074.000,4.000,18.913,14460.000,5.000,-0.114,17804.000,6.000,0.110,14978.000,5.000,22.877,13340.000,5.000,16.269,18184.000,6.000
E01002455,Hillingdon 019D,E09000017,Hillingdon,20.172,14192.000,5.000,0.113,14513.000,5.000,0.088,14662.000,5.000,18.198,14999.000,5.000,-0.315,20901.000,7.000,0.912,4279.000,2.000,26.383,9826.000,3.000,18.656,16307.000,5.000
E01002456,Hillingdon 017C,E09000017,Hillingdon,19.196,15086.000,5.000,0.121,13545.000,5.000,0.077,17111.000,6.000,18.143,15041.000,5.000,0.155,13663.000,5.000,0.122,14780.000,5.000,24.940,11177.000,4.000,27.403,10308.000,4.000
E01002457,Hillingdon 019E,E09000017,Hillingdon,26.837,9683.000,3.000,0.169,8912.000,3.000,0.111,10869.000,4.000,23.665,11524.000,4.000,0.228,12671.000,4.000,0.865,4746.000,2.000,30.028,6951.000,3.000,17.925,16874.000,6.000
E01002458,Hillingdon 011A,E09000017,Hillingdon,7.080,28217.000,9.000,0.034,30043.000,10.000,0.044,26607.000,9.000,4.554,27842.000,9.000,-1.275,30734.000,10.000,-0.095,18072.000,6.000,26.690,9569.000,3.000,13.815,20290.000,7.000
E01002459,Hillingdon 011B,E09000017,Hillingdon,3.738,31719.000,10.000,0.019,32345.000,10.000,0.033,29836.000,10.000,3.655,28943.000,9.000,-0.966,28554.000,9.000,-0.757,26864.000,9.000,17.835,19355.000,6.000,11.699,22275.000,7.000
E01002460,Hillingdon 011C,E09000017,Hillingdon,6.577,28811.000,9.000,0.058,24286.000,8.000,0.038,28380.000,9.000,3.696,28886.000,9.000,-0.834,27324.000,9.000,-0.327,21425.000,7.000,16.678,20830.000,7.000,18.729,16244.000,5.000
E01002461,Hillingdon 013A,E09000017,Hillingdon,10.271,24176.000,8.000,0.048,26646.000,9.000,0.042,27187.000,9.000,4.211,28275.000,9.000,-1.028,29044.000,9.000,-0.371,22038.000,7.000,41.039,1916.000,1.000,12.503,21509.000,7.000
E01002462,Hillingdon 011D,E09000017,Hillingdon,6.945,28397.000,9.000,0.025,31674.000,10.000,0.023,31927.000,10.000,1.477,31481.000,10.000,-1.391,31299.000,10.000,-0.722,26464.000,9.000,38.686,2588.000,1.000,10.974,23031.000,8.000
E01002463,Hillingdon 013B,E09000017,Hillingdon,7.321,27916.000,9.000,0.044,27614.000,9.000,0.050,24733.000,8.000,3.341,29327.000,9.000,-1.009,28904.000,9.000,-0.838,27678.000,9.000,29.723,7163.000,3.000,10.789,23226.000,8.000
E01002464,Hillingdon 011E,E09000017,Hillingdon,6.369,29027.000,9.000,0.059,23985.000,8.000,0.041,27441.000,9.000,7.701,24247.000,8.000,-0.579,24443.000,8.000,-0.684,26036.000,8.000,14.664,23451.000,8.000,11.706,22265.000,7.000
E01002465,Hillingdon 009A,E09000017,Hillingdon,10.440,23956.000,8.000,0.074,20756.000,7.000,0.051,24261.000,8.000,9.716,22138.000,7.000,-0.432,22538.000,7.000,-0.264,20535.000,7.000,23.622,12522.000,4.000,15.788,18589.000,6.000
E01002466,Hillingdon 010B,E09000017,Hillingdon,7.607,27551.000,9.000,0.055,24860.000,8.000,0.034,29631.000,10.000,7.776,24173.000,8.000,-1.132,29823.000,10.000,-0.280,20757.000,7.000,22.259,14013.000,5.000,20.695,14760.000,5.000
E01002467,Hillingdon 009B,E09000017,Hillingdon,5.772,29710.000,10.000,0.044,27634.000,9.000,0.041,27590.000,9.000,7.922,24036.000,8.000,-0.920,28147.000,9.000,-0.444,23043.000,8.000,16.842,20629.000,7.000,12.029,21948.000,7.000
E01002468,Hillingdon 010C,E09000017,Hillingdon,6.832,28529.000,9.000,0.038,29047.000,9.000,0.033,29956.000,10.000,10.287,21562.000,7.000,-0.898,27960.000,9.000,-0.064,17606.000,6.000,17.942,19211.000,6.000,19.147,15935.000,5.000
E01002469,Hillingdon 010D,E09000017,Hillingdon,7.970,27093.000,9.000,0.039,28890.000,9.000,0.038,28550.000,9.000,9.921,21906.000,7.000,-0.891,27897.000,9.000,-0.044,17341.000,6.000,20.180,16438.000,6.000,24.295,12226.000,4.000
E01002470,Hillingdon 007D,E09000017,Hillingdon,10.721,23632.000,8.000,0.087,18284.000,6.000,0.048,25480.000,8.000,6.877,25167.000,8.000,-0.764,26613.000,9.000,0.043,16005.000,5.000,20.312,16274.000,5.000,23.759,12593.000,4.000
E01002471,Hillingdon 008E,E09000017,Hillingdon,7.311,27928.000,9.000,0.048,26599.000,9.000,0.038,28558.000,9.000,8.201,23732.000,8.000,-0.951,28415.000,9.000,0.111,14966.000,5.000,16.055,21599.000,7.000,19.506,15671.000,5.000
E01002472,Hillingdon 002A,E09000017,Hillingdon,8.241,26768.000,9.000,0.081,19412.000,6.000,0.042,27258.000,9.000,4.809,27539.000,9.000,-0.648,25319.000,8.000,-0.485,23566.000,8.000,22.895,13331.000,5.000,10.391,23658.000,8.000
E01002473,Hillingdon 001A,E09000017,Hillingdon,15.968,17981.000,6.000,0.079,19813.000,7.000,0.075,17509.000,6.000,2.106,30778.000,10.000,-0.642,25246.000,8.000,0.110,14979.000,5.000,45.858,910.000,1.000,10.221,23832.000,8.000
E01002474,Hillingdon 002B,E09000017,Hillingdon,10.473,23911.000,8.000,0.088,18133.000,6.000,0.053,23789.000,8.000,4.816,27527.000,9.000,-0.791,26918.000,9.000,-0.087,17940.000,6.000,24.299,11820.000,4.000,16.327,18118.000,6.000
E01002475,Hillingdon 001B,E09000017,Hillingdon,17.647,16423.000,6.000,0.118,13980.000,5.000,0.122,9398.000,3.000,7.387,24604.000,8.000,0.085,14744.000,5.000,-0.860,27893.000,9.000,27.853,8561.000,3.000,8.680,25433.000,8.000
E01002476,Hillingdon 001C,E09000017,Hillingdon,4.554,30955.000,10.000,0.046,27069.000,9.000,0.030,30670.000,10.000,0.806,32229.000,10.000,-1.272,30712.000,10.000,-0.382,22201.000,7.000,20.790,15724.000,5.000,9.188,24900.000,8.000
E01002477,Hillingdon 001D,E09000017,Hillingdon,9.978,24561.000,8.000,0.083,19055.000,6.000,0.063,20625.000,7.000,2.749,30032.000,10.000,-0.317,20923.000,7.000,-0.499,23777.000,8.000,23.462,12710.000,4.000,8.477,25664.000,8.000
E01002478,Hillingdon 002C,E09000017,Hillingdon,7.519,27666.000,9.000,0.066,22368.000,7.000,0.050,24726.000,8.000,4.301,28164.000,9.000,-0.903,28007.000,9.000,-0.358,21860.000,7.000,21.105,15374.000,5.000,10.553,23486.000,8.000
E01002479,Hillingdon 004C,E09000017,Hillingdon,19.628,14690.000,5.000,0.139,11607.000,4.000,0.098,12925.000,4.000,11.596,20329.000,7.000,0.002,15983.000,5.000,0.113,14932.000,5.000,32.159,5550.000,2.000,10.021,24044.000,8.000
E01002480,Hillingdon 004D,E09000017,Hillingdon,4.074,31432.000,10.000,0.035,29762.000,10.000,0.029,30831.000,10.000,2.414,30403.000,10.000,-1.405,31364.000,10.000,-0.733,26613.000,9.000,23.132,13067.000,4.000,8.196,25957.000,8.000
E01002481,Hillingdon 004E,E09000017,Hillingdon,19.065,15178.000,5.000,0.149,10619.000,4.000,0.105,11809.000,4.000,10.393,21462.000,7.000,-0.451,22777.000,7.000,-0.235,20133.000,7.000,34.045,4555.000,2.000,10.206,23845.000,8.000
E01002482,Hillingdon 001E,E09000017,Hillingdon,3.114,32164.000,10.000,0.026,31534.000,10.000,0.026,31455.000,10.000,0.862,32167.000,10.000,-1.027,29041.000,9.000,-0.641,25545.000,8.000,17.452,19854.000,7.000,10.006,24055.000,8.000
E01002483,Hillingdon 002D,E09000017,Hillingdon,9.321,25352.000,8.000,0.065,22589.000,7.000,0.060,21574.000,7.000,3.698,28878.000,9.000,-0.445,22704.000,7.000,-0.413,22612.000,7.000,22.762,13458.000,5.000,14.664,19508.000,6.000
E01002484,Hillingdon 002E,E09000017,Hillingdon,21.292,13323.000,5.000,0.141,11350.000,4.000,0.110,11039.000,4.000,9.914,21913.000,7.000,0.241,12492.000,4.000,0.221,13170.000,5.000,25.130,10976.000,4.000,23.935,12463.000,4.000
E01002485,Hillingdon 002F,E09000017,Hillingdon,15.274,18663.000,6.000,0.101,16169.000,5.000,0.076,17352.000,6.000,7.257,24744.000,8.000,-0.244,19785.000,7.000,0.185,13757.000,5.000,25.708,10450.000,4.000,21.939,13890.000,5.000
E01002486,Hillingdon 028A,E09000017,Hillingdon,24.901,10820.000,4.000,0.174,8480.000,3.000,0.097,13083.000,4.000,25.068,10793.000,4.000,-0.576,24398.000,8.000,0.276,12302.000,4.000,38.299,2738.000,1.000,24.115,12341.000,4.000
E01002487,Hillingdon 028B,E09000017,Hillingdon,24.080,11335.000,4.000,0.151,10441.000,4.000,0.097,13070.000,4.000,24.886,10893.000,4.000,-0.554,24114.000,8.000,0.137,14537.000,5.000,38.859,2536.000,1.000,27.655,10159.000,4.000
E01002488,Hillingdon 030B,E09000017,Hillingdon,18.599,15580.000,5.000,0.107,15352.000,5.000,0.081,16053.000,5.000,18.231,14969.000,5.000,-0.548,24020.000,8.000,0.311,11779.000,4.000,31.368,6039.000,2.000,24.637,12001.000,4.000
E01002489,Hillingdon 030C,E09000017,Hillingdon,15.991,17959.000,6.000,0.106,15487.000,5.000,0.063,20552.000,7.000,12.280,19689.000,6.000,-0.724,26163.000,8.000,0.429,10043.000,4.000,29.696,7179.000,3.000,22.817,13250.000,5.000
E01002490,Hillingdon 030D,E09000017,Hillingdon,21.801,12914.000,4.000,0.127,12856.000,4.000,0.073,18070.000,6.000,23.595,11567.000,4.000,-0.584,24511.000,8.000,0.534,8617.000,3.000,29.948,7004.000,3.000,38.502,4803.000,2.000
E01002491,Hillingdon 032D,E09000017,Hillingdon,26.093,10125.000,4.000,0.176,8335.000,3.000,0.103,12092.000,4.000,28.706,9101.000,3.000,-0.434,22564.000,7.000,0.418,10191.000,4.000,36.152,3560.000,2.000,24.799,11909.000,4.000
E01002492,Hillingdon 030E,E09000017,Hillingdon,21.072,13506.000,5.000,0.135,12054.000,4.000,0.082,15871.000,5.000,25.213,10720.000,4.000,-0.485,23203.000,8.000,0.304,11881.000,4.000,28.760,7846.000,3.000,30.028,8793.000,3.000
E01002493,Hillingdon 032E,E09000017,Hillingdon,31.917,7115.000,3.000,0.201,6613.000,3.000,0.117,10075.000,4.000,36.094,6410.000,2.000,-0.022,16327.000,5.000,0.302,11908.000,4.000,47.883,580.000,1.000,16.568,17925.000,6.000
E01002494,Hillingdon 009C,E09000017,Hillingdon,11.192,23112.000,8.000,0.085,18706.000,6.000,0.057,22501.000,7.000,9.060,22794.000,7.000,-0.517,23650.000,8.000,-0.611,25203.000,8.000,24.283,11838.000,4.000,19.851,15404.000,5.000
E01002495,Hillingdon 010E,E09000017,Hillingdon,10.037,24471.000,8.000,0.071,21224.000,7.000,0.045,26240.000,8.000,11.137,20764.000,7.000,-0.831,27301.000,9.000,-0.367,21987.000,7.000,25.270,10860.000,4.000,19.432,15727.000,5.000
E01002496,Hillingdon 033A,E09000017,Hillingdon,16.800,17182.000,6.000,0.099,16490.000,6.000,0.067,19672.000,6.000,16.876,15907.000,5.000,-0.301,20662.000,7.000,-0.060,17551.000,6.000,28.655,7925.000,3.000,30.401,8580.000,3.000
E01002497,Hillingdon 033B,E09000017,Hillingdon,15.001,18915.000,6.000,0.113,14609.000,5.000,0.059,21839.000,7.000,15.757,16780.000,6.000,-0.731,26256.000,8.000,0.275,12311.000,4.000,24.476,11650.000,4.000,22.452,13523.000,5.000
E01002498,Hillingdon 033C,E09000017,Hillingdon,8.295,26697.000,9.000,0.052,25706.000,8.000,0.040,27800.000,9.000,6.794,25261.000,8.000,-0.826,27260.000,9.000,0.400,10444.000,4.000,15.912,21794.000,7.000,19.620,15583.000,5.000
E01002499,Hillingdon 033D,E09000017,Hillingdon,12.740,21340.000,7.000,0.080,19490.000,6.000,0.062,21000.000,7.000,9.415,22454.000,7.000,-0.548,24021.000,8.000,-0.532,24207.000,8.000,32.090,5594.000,2.000,17.849,16946.000,6.000
E01002501,Hillingdon 026B,E09000017,Hillingdon,21.242,13368.000,5.000,0.134,12129.000,4.000,0.098,12974.000,4.000,19.173,14274.000,5.000,-0.518,23672.000,8.000,0.569,8153.000,3.000,30.395,6683.000,3.000,21.490,14198.000,5.000
E01002502,Hillingdon 026C,E09000017,Hillingdon,29.205,8401.000,3.000,0.184,7736.000,3.000,0.129,8644.000,3.000,33.577,7247.000,3.000,0.162,13581.000,5.000,0.587,7896.000,3.000,31.472,5978.000,2.000,18.778,16207.000,5.000
E01002503,Hillingdon 027C,E09000017,Hillingdon,30.981,7561.000,3.000,0.201,6603.000,3.000,0.118,9985.000,4.000,21.849,12641.000,4.000,0.421,10057.000,4.000,0.989,3608.000,2.000,30.227,6809.000,3.000,29.414,9143.000,3.000
E01002504,Hillingdon 027D,E09000017,Hillingdon,25.275,10595.000,4.000,0.172,8654.000,3.000,0.092,13950.000,5.000,23.324,11714.000,4.000,0.190,13200.000,5.000,0.572,8098.000,3.000,32.290,5474.000,2.000,20.966,14584.000,5.000
E01002505,Hillingdon 026D,E09000017,Hillingdon,36.030,5524.000,2.000,0.213,5921.000,2.000,0.142,7333.000,3.000,21.064,13093.000,4.000,0.373,10667.000,4.000,1.166,2433.000,1.000,39.166,2431.000,1.000,33.532,6938.000,3.000
E01002506,Hillingdon 027E,E09000017,Hillingdon,32.981,6678.000,3.000,0.196,6928.000,3.000,0.122,9393.000,3.000,23.387,11681.000,4.000,0.193,13167.000,5.000,1.180,2354.000,1.000,39.771,2267.000,1.000,26.015,11150.000,4.000
E01002507,Hillingdon 027F,E09000017,Hillingdon,21.013,13549.000,5.000,0.149,10595.000,4.000,0.063,20726.000,7.000,13.843,18293.000,6.000,-0.650,25338.000,8.000,0.884,4541.000,2.000,34.851,4147.000,2.000,24.254,12253.000,4.000
E01002508,Hillingdon 026E,E09000017,Hillingdon,34.585,6038.000,2.000,0.223,5341.000,2.000,0.142,7334.000,3.000,26.853,9888.000,4.000,0.090,14667.000,5.000,1.294,1780.000,1.000,32.597,5330.000,2.000,26.786,10693.000,4.000
E01002509,Hillingdon 017D,E09000017,Hillingdon,8.183,26850.000,9.000,0.047,26970.000,9.000,0.033,29852.000,10.000,6.977,25063.000,8.000,-0.937,28289.000,9.000,-0.008,16820.000,6.000,25.698,10459.000,4.000,20.058,15244.000,5.000
E01002511,Hillingdon 017E,E09000017,Hillingdon,23.569,11647.000,4.000,0.142,11292.000,4.000,0.108,11335.000,4.000,16.452,16224.000,5.000,0.001,16010.000,5.000,0.639,7214.000,3.000,33.645,4749.000,2.000,17.132,17484.000,6.000
E01002512,Hillingdon 013C,E09000017,Hillingdon,6.058,29384.000,9.000,0.049,26341.000,9.000,0.034,29712.000,10.000,1.597,31333.000,10.000,-1.176,30141.000,10.000,0.052,15864.000,5.000,20.193,16426.000,6.000,13.994,20116.000,7.000
E01002513,Hillingdon 013D,E09000017,Hillingdon,12.172,21967.000,7.000,0.073,21007.000,7.000,0.078,16832.000,6.000,5.542,26677.000,9.000,-0.443,22683.000,7.000,0.080,15420.000,5.000,23.114,13085.000,4.000,16.038,18393.000,6.000
E01002514,Hillingdon 015C,E09000017,Hillingdon,12.343,21785.000,7.000,0.088,18220.000,6.000,0.056,22840.000,7.000,4.933,27377.000,9.000,-0.979,28656.000,9.000,0.228,13069.000,4.000,26.757,9503.000,3.000,23.743,12605.000,4.000
E01002515,Hillingdon 015D,E09000017,Hillingdon,21.833,12892.000,4.000,0.134,12110.000,4.000,0.092,13935.000,5.000,9.694,22164.000,7.000,-0.127,18011.000,6.000,0.410,10303.000,4.000,36.957,3218.000,1.000,25.953,11185.000,4.000
E01002516,Hillingdon 013E,E09000017,Hillingdon,7.515,27668.000,9.000,0.042,28032.000,9.000,0.044,26730.000,9.000,2.726,30060.000,10.000,-0.781,26795.000,9.000,0.046,15955.000,5.000,24.546,11584.000,4.000,14.381,19783.000,7.000
E01002518,Hillingdon 022C,E09000017,Hillingdon,10.195,24260.000,8.000,0.058,24179.000,8.000,0.036,28955.000,9.000,12.031,19906.000,7.000,-0.616,24906.000,8.000,0.508,8974.000,3.000,20.665,15872.000,5.000,17.805,16976.000,6.000
E01002519,Hillingdon 022D,E09000017,Hillingdon,29.904,8067.000,3.000,0.163,9387.000,3.000,0.125,9133.000,3.000,29.394,8827.000,3.000,0.361,10847.000,4.000,0.631,7322.000,3.000,33.797,4678.000,2.000,29.510,9092.000,3.000
E01002520,Hillingdon 016B,E09000017,Hillingdon,19.737,14591.000,5.000,0.164,9298.000,3.000,0.092,13881.000,5.000,18.901,14468.000,5.000,-0.383,21909.000,7.000,-0.790,27201.000,9.000,31.894,5723.000,2.000,16.497,17987.000,6.000
E01002521,Hillingdon 016C,E09000017,Hillingdon,29.236,8385.000,3.000,0.205,6378.000,2.000,0.122,9476.000,3.000,11.263,20653.000,7.000,0.858,5385.000,2.000,0.340,11329.000,4.000,35.428,3884.000,2.000,17.137,17480.000,6.000
E01002523,Hillingdon 016D,E09000017,Hillingdon,17.141,16868.000,6.000,0.085,18687.000,6.000,0.055,23198.000,8.000,11.394,20532.000,7.000,-0.242,19743.000,7.000,0.442,9884.000,4.000,34.073,4538.000,2.000,31.496,7993.000,3.000
E01002525,Hillingdon 029B,E09000017,Hillingdon,19.294,15013.000,5.000,0.095,17126.000,6.000,0.055,22958.000,7.000,11.935,20000.000,7.000,-0.199,19126.000,6.000,1.406,1334.000,1.000,19.161,17663.000,6.000,34.789,6333.000,2.000
E01002526,Hillingdon 028C,E09000017,Hillingdon,28.751,8626.000,3.000,0.153,10249.000,4.000,0.113,10690.000,4.000,38.298,5820.000,2.000,0.026,15605.000,5.000,0.717,6316.000,2.000,36.105,3580.000,2.000,21.875,13928.000,5.000
E01002527,Hillingdon 031D,E09000017,Hillingdon,27.692,9202.000,3.000,0.197,6852.000,3.000,0.117,10050.000,4.000,22.445,12278.000,4.000,0.292,11740.000,4.000,0.728,6201.000,2.000,26.817,9440.000,3.000,20.806,14688.000,5.000
E01002528,Hillingdon 028D,E09000017,Hillingdon,35.075,5861.000,2.000,0.188,7434.000,3.000,0.125,9087.000,3.000,43.875,4434.000,2.000,0.012,15825.000,5.000,1.301,1749.000,1.000,38.281,2746.000,1.000,24.407,12157.000,4.000
E01002529,Hillingdon 029C,E09000017,Hillingdon,20.428,13991.000,5.000,0.140,11409.000,4.000,0.075,17403.000,6.000,15.779,16771.000,6.000,-0.201,19147.000,6.000,0.891,4481.000,2.000,25.897,10265.000,4.000,20.292,15060.000,5.000
E01002530,Hillingdon 029D,E09000017,Hillingdon,35.344,5774.000,2.000,0.214,5872.000,2.000,0.149,6655.000,3.000,45.265,4110.000,2.000,0.636,7545.000,3.000,0.729,6187.000,2.000,28.385,8122.000,3.000,21.376,14283.000,5.000
E01002531,Hillingdon 029E,E09000017,Hillingdon,17.549,16512.000,6.000,0.114,14438.000,5.000,0.083,15640.000,5.000,13.262,18820.000,6.000,-0.064,16996.000,6.000,0.609,7602.000,3.000,21.399,15016.000,5.000,16.080,18354.000,6.000
E01002532,Hillingdon 028E,E09000017,Hillingdon,28.501,8763.000,3.000,0.168,8963.000,3.000,0.091,14073.000,5.000,26.074,10283.000,4.000,-0.037,16559.000,6.000,0.220,13186.000,5.000,46.389,824.000,1.000,32.813,7287.000,3.000
